KEYWORD:INFOSEC
1	@TripwireInc       179	9.91	3.26
2	@CyberExaminer     166	9.83	3.77
3	@hacks4pancakes    155	5.75	2.53
4	@DMBisson          80	4.05	6.72
5	@CyberDomain       92	3.45	4.32
6	@gmillard          71	3.26	6.88
7	@TheRegister       74	3.21	6.23
8	@S_Clarke22        77	2.86	5.13
9	@Maliciouslink     76	2.53	4.66
10	@SwiftOnSecurity   61	2.30	6.59
11	@Peerlyst          70	2.09	4.54
12	@Laughing_Mantis   54	1.98	7.24
13	@da_667            83	1.97	3.03
14	@thegrugq          72	1.83	3.75
15	@gcluley           49	1.69	7.54
16	@LargeCardinal     49	1.56	6.96
17	@InfosecEdu        63	1.53	4.10
18	@TheHackersNews    51	1.48	6.09
19	@alienvault        48	1.41	6.56
20	@averagesecguy     52	1.40	5.55
21	@IT_securitynews   56	1.37	4.68
22	@Info_Sec_Buzz     50	1.31	5.62
23	@I_Fagan           84	1.20	1.81
24	@jwgoerlich        54	1.16	4.25
25	@J0hnnyXm4s        52	1.07	4.25
26	@RSAConference     49	1.07	4.78
27	@jeremiahg         44	0.97	5.38
28	@neirajones        44	0.92	5.11
29	@smesecurity       34	0.87	8.18
30	@DanielMiessler    41	0.87	5.56
31	@deeks             43	0.87	5.03
32	@attrc             38	0.85	6.33
33	@HeimdalSecurity   37	0.84	6.59
34	@AshiqJA           34	0.82	7.63
35	@Infosec_Tourist   120	0.76	0.56
36	@mzbat             34	0.74	6.88
37	@evidentdotio      53	0.68	2.58
38	@ISC2              32	0.60	6.35
39	@treyford          30	0.59	7.16
40	@securityaffairs   52	0.57	2.24
41	@h11dfs            46	0.55	2.78
42	@SecRecon          39	0.50	3.55
43	@rapid7            33	0.48	4.81
44	@InfoSec_17        91	0.47	0.61
45	@IBMSecurity       27	0.46	6.85
46	@J4vv4D            35	0.43	3.83
47	@eForensics_Mag    35	0.43	3.79
48	@Water_Steve       25	0.37	6.52
49	@3ncr1pt3d         30	0.37	4.46
50	@engadget          23	0.36	7.40
51	@ritzsanti         28	0.35	4.90
52	@vishne0           95	0.35	0.41
53	@HOCupdate         31	0.34	3.86
54	@Softpedia         23	0.34	7.02
55	@RSAsecurity       28	0.34	4.69
56	@Onion_ID          26	0.34	5.45
57	@x1622sec          26	0.33	5.31
58	@evanderburg       327	0.32	0.03
59	@violetblue        24	0.29	5.57
60	@hrbrmstr          31	0.28	3.14
61	@FireEye           24	0.27	5.11
62	@geek_king         23	0.27	5.57
63	@NorseCorp         18	0.26	8.89
64	@YoKoAcc           23	0.25	5.11
65	@infosec_nick      39	0.23	1.65
66	@AtlSecCon         20	0.23	6.39
67	@johncvillanueva   41	0.23	1.48
68	@find_evil         29	0.22	2.85
69	@InfoSecSherpa     53	0.22	0.84
70	@LIFARSLLC         141	0.21	0.11
71	@pauldokas         21	0.19	4.79
72	@InfoSec_Student   68	0.18	0.41
73	@ISE_Labs          21	0.18	4.42
74	@I_AM_Mayur0021    28	0.18	2.44
75	@terlin            20	0.18	4.84
76	@todb              22	0.17	3.76
77	@FFD8FFDB          18	0.16	5.49
78	@TruShield         37	0.16	1.23
79	@Trustifier        31	0.15	1.66
80	@crackerhacker00   20	0.14	3.87
81	@IOActive          30	0.14	1.66
82	@CBI_IT            22	0.14	3.12
83	@campuscodi        17	0.14	5.26
84	@Infosec_Rogue     41	0.14	0.87
85	@EiQNetworks       20	0.14	3.73
86	@Cyveillance       16	0.14	5.90
87	@Rootsector        34	0.13	1.25
88	@ErrataRob         18	0.13	4.31
89	@HackerHuntress    25	0.12	2.12
90	@ISACANews         17	0.12	4.63
91	@LGScout           24	0.12	2.26
92	@Hakin9            37	0.11	0.90
93	@MrTrav            18	0.11	3.91
94	@Secnewsbytes      34	0.11	1.04
95	@Malwarebytes      16	0.11	4.80
96	@cybersecboardrm   19	0.11	3.30
97	@ClausHoumann      55	0.10	0.36
98	@GRC_Ninja         41	0.10	0.64
99	@JosephSteinberg   21	0.10	2.40
100	@Secure360         14	0.09	5.33
101	59626497           22	0.09	2.08
102	16486941           33	0.09	0.89
103	16048357           23	0.09	1.81
