KEYWORD: Global Warming
1	@Cyber_Dystopia    61
2	@securityaffairs   43
3	@Treadstone71LLC   13
4	@Cyber_War_News    33
5	@Cyber_Heartbeat   14
6	@Cyber_Cossack     13
7	@AXELOS_GBP        10
8	@IASME1            15
9	@SCmagazineUK      19
10	@creoseclabs       19
11	@emphilpott        10
12	@dotstar           6
13	@thegrugq          19
14	@Info_Sec_Buzz     13
15	@RedDragon1949     12
16	@AlyneDotCom       6
17	@TripwireInc       25
18	@evanderburg       26
19	@CybernatedUK      15
20	@BobCovello        9
21	@jandrusk          9
22	@ITGovernance      12
23	@IBMSecurity       9
24	@Cyberarms         13
25	@PatrickCMiller    6
26	@helpnetsecurity   9
27	@1D10T1            6
28	@ECPIUniversity    9
29	@LIFARSLLC         8
30	@CISecurity        9
31	@SouthEast_Cyber   10
32	@ICSISAC           9
33	@TheRegister       8
34	@neirajones        10
35	@SamP_CyberSec     7
36	@sudosev           4
37	@static_cyber      5
38	@Cyber_APMG        9
39	@jjza              10
40	@ISACANews         9
41	@CyberCrime_Top    6
42	@RSAConference     7
43	@CognosecAB        9
44	@ProfWoodward      4
45	@cyberdefence      6
46	@shawnetuma        8
47	@Primal            6
48	@techpearce2       7
49	@C4ISRNET          7
50	@ISSEconference    7
51	@MunichRe          5
52	@ImAyushArya       7
53	@Kronykal          6
54	@CyberSecur        7
55	@Peerlyst          9
56	@ClausHoumann      6
57	@Solvitursystems   4
58	@illusivenw        6
59	@dynamiqthinking   4
60	@bfpennington      5
61	@gamingpaul        5
62	@joepettit2        6
63	@resilientsys      5
64	@cyber_kaser       4
65	@FSecure           4
66	@cyber_int         9
67	@Secnewsbytes      4
68	@WomenCyberjutsu   8
69	@Irrodeus          5
70	@4n0n_HR           9
71	@E_Anony_          7
72	@Izza_Mujahid      6
73	@bill_nizzle       5
74	@SANSCyberTalent   4
75	@PogoWasRight      6
76	@Dejan_Kosutic     5
77	@LawCampusIndia    6
78	@Wh1t3Rabbit       5
79	@passwordrandom    6
80	@KirstyR_SANS      2
81	@mikko             5
82	@Azeem_Aleem       3
83	@ErrataRob         4
84	@Infosec_Tourist   5
85	@ItalianPolitics   2
86	@chkconfig         4
87	@cybersec4u        10
88	@hackypiyush       4
89	@ThreatStream      4
90	@RiskMan14U        3
91	@LeftyPleb         3
92	@eForensics_Mag    7
93	@PenTestMag        5
94	@selil             3
95	@identifi_global   3
96	@geminiimatt       4
97	@HEbertKONLABS     3
98	@RomanSlovinec     9
99	@cloudtweaks       3
100	@RossMorley        2
101	59611400           6
102	87211006           4
103	550939122          5
104	363080660          4
105	3297634540         5
106	4189537871         3
107	2269701            4
108	1631062879         5
109	2478688363         5
110	2928530227         5
111	19893079           6
112	1674589274         2
113	309264453          4
114	385754306          2
115	207617689          4
116	74949316           3
117	2871981312         4
118	241081430          3
119	14293178           3
120	7180492            3
121	367538716          1
122	2451149671         2
123	224793443          2
124	21355617           2
125	27622239           1
126	3104633975         2
127	1862364752         2
128	603928681          2
129	2572565934         2
130	3328866513         3
131	3299784770         3
132	2555438896         4
133	82153879           2
134	405084965          3
135	3131575073         1
136	27675425           2
137	372569155          2
138	11100362           1
139	19114385           1
140	2427244933         2
141	181945085          2
142	74518730           3
143	383065846          2
144	3345194367         3
145	60701415           1
146	15655289           3
147	1595427546         2
148	15133042           2
149	289408290          4
150	355755639          2
151	4854761            1
152	25760454           2
153	2827688294         2
154	73195179           1
155	9866582            3
156	1971650604         2
157	206363288          2
158	477480266          3
159	2284190640         2
160	110491252          3
161	15579178           2
162	3293866587         2
163	396863045          2
164	9674292            2
165	126285359          1
166	24457495           2
167	2715860740         1
168	2821347210         2
169	64170125           2
170	799042556          5
171	39881667           2
172	229803979          2
173	2481884095         3
